Name,YT Scope Project,
File,C:\Users\sakat\OneDrive\ドキュメント\pylib_sakata\experiment\data\freq_resp_2mass_step_20240216.csv,
Starttime of export,133525537445452500,2024年2月16日,19:42:24.545
Endtime of export,133525537475500000,2024年2月16日,19:42:27.550


Name,RefPosUm[0],ActPosUm[0],RefVelMm[0],ActVelMm[0],ErrPosUm[0],ErrVelMm[0],ServoOutN[0],NoiseOut[0],ActForceN[0],FlagInject,FlagMoving[0],TargetTorque[0]

0,0,-0.00762939453125,0,-0.030517578125,0.00762939453125,0,3.61814435692584E-07,0,0.0002,0,0,0
0.125,0,-0.00762939453125,0,0,0.00762939453125,0,3.5939974901493218E-07,0,0,0,0,0
0.25,0,-0.00762939453125,0,0,0.00762939453125,0,3.57030112043487E-07,0,0,0,0,0
0.375,0,-0.00762939453125,0,0,0.00762939453125,0,3.5470468430646046E-07,0,-0.0002,0,0,0
0.5,0,0,0,0.06103515625,0,0,-5.0869823681914338E-07,0,0.001,0,0,0
0.625,0,-0.003814697265625,0,-0.030517578125,0.003814697265625,0,-6.864724729547208E-08,0,-0.0008,0,0,0
0.75,0,-0.011444091796875,0,-0.06103515625,0.011444091796875,0,7.9592211084556475E-07,0,0.0006,0,0,0
0.875,0,-0.003814697265625,0,0.06103515625,0.003814697265625,0,-7.3544642260942118E-08,0,-0.0002,0,0,0
1,0,-0.003814697265625,0,0,0.003814697265625,0,-7.00047934908927E-08,0,0.0002,0,0,0
1.125,0,-0.003814697265625,0,0,0.003814697265625,0,-6.65309860621827E-08,0,0.0002,0,0,0
1.25,0,-0.011444091796875,0,-0.06103515625,0.011444091796875,0,7.9799888995982874E-07,0,0,0,0,0
1.375,0,-0.00762939453125,0,0.030517578125,0.00762939453125,0,3.59053830249907E-07,0,0.0004,0,0,0
1.5,0,-0.003814697265625,0,0.030517578125,0.003814697265625,0,-7.3869791988923614E-08,0,0.0002,0,0,0
1.625,0,-0.00762939453125,0,-0.030517578125,0.00762939453125,0,3.6023656186681076E-07,0,0.0002,0,0,0
1.75,0,-0.00762939453125,0,0,0.00762939453125,0,3.5785131286028212E-07,0,0.0004,0,0,0
1.875,0,-0.003814697265625,0,0.030517578125,0.003814697265625,0,-7.5049874560974721E-08,0,0.0002,0,0,0
2,0,-0.003814697265625,0,0,0.003814697265625,0,-7.1481943359561949E-08,0,0.0004,0,0,0
2.125,0,-0.003814697265625,0,0,0.003814697265625,0,-6.79805774205812E-08,0,0.0006,0,0,0
2.25,0,-0.011444091796875,0,-0.06103515625,0.011444091796875,0,7.965763429651649E-07,0,0.0002,0,0,0
2.375,0,-0.00762939453125,0,0.030517578125,0.00762939453125,0,3.5765782306463865E-07,0,0.0002,0,0,0
2.5,0,-0.00762939453125,0,0,0.00762939453125,0,3.5532068440985735E-07,0,0.0002,0,0,0
2.625,0,-0.00762939453125,0,0,0.00762939453125,0,3.5302714868324738E-07,0,0.0008,0,0,0
2.75,0,-0.00762939453125,0,0,0.00762939453125,0,3.5077640240489768E-07,0,0.0008,0,0,0
2.875,0,-0.00762939453125,0,0,0.00762939453125,0,3.4856764727162022E-07,0,-0.0002,0,0,0
3,0,-0.00762939453125,0,0,0.00762939453125,0,3.4640009987380482E-07,0,-0.0008,0,0,0
3.125,0,-0.00762939453125,0,0,0.00762939453125,0,3.4427299141755659E-07,0,0.0014,0,0,0
3.25,0,-0.00762939453125,0,0,0.00762939453125,0,3.42185567452017E-07,0,-0.0002,0,0,0
3.375,0,-0.003814697265625,0,0.030517578125,0.003814697265625,0,-9.0423351313980573E-08,0,-0.0002,0,0,0
3.5,0,-0.003814697265625,0,0,0.003814697265625,0,-8.6568604180088117E-08,0,0,0,0,0
3.625,0,-0.003814697265625,0,0,0.003814697265625,0,-8.278577330244944E-08,0,0,0,0,0
3.75,0,-0.00762939453125,0,-0.030517578125,0.00762939453125,0,3.5148692194342687E-07,0,-0.0008,0,0,0
3.875,0,-0.00762939453125,0,0,0.00762939453125,0,3.4926491097171664E-07,0,-0.0002,0,0,0
4,0,-0.00762939453125,0,0,0.00762939453125,0,3.4708435504359025E-07,0,0.0012,0,0,0
4.125,0,-0.00762939453125,0,0,0.00762939453125,0,3.4494448075123809E-07,0,-0.0002,0,0,0
4.25,0,-0.00762939453125,0,0,0.00762939453125,0,3.4284452911596673E-07,0,0.0006,0,0,0
